2022-05-16 14:05:450 INFO  SignInPage :72 - verify SignIn Link : Sign in
2022-05-16 17:05:443 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:615 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 17:05:573 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (e9cca457a9df4226a36cacc51d4c226f)] -> xpath: //input[@id='email_create']]
2022-05-16 17:05:642 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 17:05:725 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:576 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 17:05:397 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (6fd7d9d3df3829b0a53d45f659643534)] -> xpath: //input[@id='email_create']]
2022-05-16 17:05:446 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 17:05:186 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:939 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 17:05:189 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (697f2c7a978b7425a040ab349d95a158)] -> xpath: //input[@id='email_create']]
2022-05-16 17:05:241 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 17:05:161 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:590 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 17:05:980 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (4f497714cabf2a122cbb14ed5358033e)] -> xpath: //input[@id='email_create']]
2022-05-16 17:05:33 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 17:05:684 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:771 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 17:05:25 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (46ce6ec00dadccbc5736aaea199fa527)] -> xpath: //input[@id='email_create']]
2022-05-16 17:05:82 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 17:05:675 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 17:05:931 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 17:05:517 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (bde7dd1737bf3a77c0474b72975fd67b)] -> xpath: //input[@id='email_create']]
2022-05-16 17:05:579 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 18:05:946 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 18:05:881 INFO  HomePage :21 - click on signIn link : Sign in
2022-05-16 18:05:245 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (b8c7b6b33f54d2b8d31763565497d1c9)] -> xpath: //input[@id='email_create']]
2022-05-16 18:05:348 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-16 18:05:626 INFO  CreateAccountPage :110 - enter first name : 
2022-05-16 18:05:762 INFO  CreateAccountPage :115 - Enter last name : 
2022-05-16 18:05:922 INFO  CreateAccountPage :120 - Enter password : 
2022-05-16 18:05:159 INFO  CreateAccountPage :125 - Enter Firstname : 
2022-05-16 18:05:334 INFO  CreateAccountPage :130 - Enter address last name :
2022-05-16 18:05:487 INFO  CreateAccountPage :135 - Enter address : [[ChromeDriver: chrome on WINDOWS (b8c7b6b33f54d2b8d31763565497d1c9)] -> id: address1]
2022-05-16 18:05:647 INFO  CreateAccountPage :140 - Enter city : [[ChromeDriver: chrome on WINDOWS (b8c7b6b33f54d2b8d31763565497d1c9)] -> id: city]
2022-05-16 18:05:815 INFO  CreateAccountPage :145 - Select state : [[ChromeDriver: chrome on WINDOWS (b8c7b6b33f54d2b8d31763565497d1c9)] -> id: id_state]
2022-05-16 18:05:967 INFO  CreateAccountPage :150 - Select postal code : [[ChromeDriver: chrome on WINDOWS (b8c7b6b33f54d2b8d31763565497d1c9)] -> id: postcode]
2022-05-16 18:05:136 INFO  CreateAccountPage :160 - Enter mobile number : [[ChromeDriver: chrome on WINDOWS (b8c7b6b33f54d2b8d31763565497d1c9)] -> id: phone_mobile]
2022-05-16 18:05:396 INFO  CreateAccountPage :165 - Enter alias : 
2022-05-16 18:05:805 INFO  CreateAccountPage :169 - click on register button : [[ChromeDriver: chrome on WINDOWS (b8c7b6b33f54d2b8d31763565497d1c9)] -> id: submitAccount]
2022-05-16 18:05:862 INFO  CreateAccountPage :173 - Verify registration text : [[ChromeDriver: chrome on WINDOWS (b8c7b6b33f54d2b8d31763565497d1c9)] -> xpath: //h1[contains(text(),'My account')]]
2022-05-16 18:05:203 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 18:05:775 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 18:05:951 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 18:05:818 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (9cb13593378985df068a37262e51f072)] -> xpath: (//a[@title='Women'])[1]]
2022-05-16 18:05:896 INFO  WomenCategoryPage :24 - verifying womens page text : Women
2022-05-17 20:05:886 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 20:05:741 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (f04d974cfdb8cad909502f0b357e91ed)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 20:05:383 INFO  WomenCategoryPage :39 - selecting product : Blouse
2022-05-17 20:05:687 INFO  ProductPage :40 - Select quantity :2
2022-05-17 20:05:915 INFO  ProductPage :45 - select size : M
2022-05-17 20:05:55 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (f04d974cfdb8cad909502f0b357e91ed)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 20:05:740 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 20:05:755 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (76298f0f1aa26d9b78fe932069d61bac)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 20:05:379 INFO  WomenCategoryPage :39 - selecting product : Printed Dress
2022-05-17 20:05:647 INFO  ProductPage :40 - Select quantity :3
2022-05-17 20:05:868 INFO  ProductPage :45 - select size : L
2022-05-17 20:05:42 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (76298f0f1aa26d9b78fe932069d61bac)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 20:05:669 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 20:05:921 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (8e7ba52ae9144c97d1c76401e67864d0)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 20:05:154 INFO  WomenCategoryPage :39 - selecting product : Printed Chiffon Dress
2022-05-17 20:05:390 INFO  ProductPage :40 - Select quantity :4
2022-05-17 20:05:555 INFO  ProductPage :45 - select size : S
2022-05-17 20:05:691 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (8e7ba52ae9144c97d1c76401e67864d0)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 20:05:319 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 20:05:808 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (db9884ebbfb9cd33cbd2b8148b07618e)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 20:05:269 INFO  WomenCategoryPage :39 - selecting product : Printed Summer Dress
2022-05-17 20:05:319 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 20:05:74 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (b0afef383c8027497ba1b415d6bd4319)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 20:05:909 INFO  WomenCategoryPage :39 - selecting product : Blouse
2022-05-17 20:05:293 INFO  ProductPage :40 - Select quantity :2
2022-05-17 20:05:530 INFO  ProductPage :45 - select size : M
2022-05-17 20:05:729 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (b0afef383c8027497ba1b415d6bd4319)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 20:05:606 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 20:05:365 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (c6ec83142f56333553b78bf042c6aa86)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 20:05:916 INFO  WomenCategoryPage :39 - selecting product : Printed Dress
2022-05-17 20:05:211 INFO  ProductPage :40 - Select quantity :3
2022-05-17 20:05:421 INFO  ProductPage :45 - select size : L
2022-05-17 20:05:796 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (c6ec83142f56333553b78bf042c6aa86)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 20:05:745 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 20:05:316 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (4e2f81a895afa17e729f7d85a61141a4)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 20:05:68 INFO  WomenCategoryPage :39 - selecting product : Printed Chiffon Dress
2022-05-17 20:05:383 INFO  ProductPage :40 - Select quantity :4
2022-05-17 20:05:482 INFO  ProductPage :45 - select size : S
2022-05-17 20:05:611 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (4e2f81a895afa17e729f7d85a61141a4)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 20:05:345 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 20:05:38 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (c54b62e49a1744cb067aca6b8e0430c6)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 20:05:120 INFO  WomenCategoryPage :39 - selecting product : Printed Summer Dress
2022-05-17 20:05:399 INFO  ProductPage :40 - Select quantity :2
2022-05-17 20:05:586 INFO  ProductPage :45 - select size : M
2022-05-17 20:05:748 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (c54b62e49a1744cb067aca6b8e0430c6)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 23:05:453 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:168 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (67d68920a50784d828169a51d21aa8d2)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 23:05:197 INFO  WomenCategoryPage :39 - selecting product : Blouse
2022-05-17 23:05:331 INFO  ProductPage :40 - Select quantity :2
2022-05-17 23:05:432 INFO  ProductPage :45 - select size : M
2022-05-17 23:05:507 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (67d68920a50784d828169a51d21aa8d2)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 23:05:912 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:537 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:42 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (5d00f179e8be897ad0e6fc2ed94666dd)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 23:05:41 INFO  WomenCategoryPage :39 - selecting product : Blouse
2022-05-17 23:05:247 INFO  ProductPage :40 - Select quantity :2
2022-05-17 23:05:399 INFO  ProductPage :45 - select size : M
2022-05-17 23:05:547 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (5d00f179e8be897ad0e6fc2ed94666dd)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 23:05:632 INFO  ProductPage :72 - product added successfully message : [[ChromeDriver: chrome on WINDOWS (5d00f179e8be897ad0e6fc2ed94666dd)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:536 INFO  ProductPage :76 - Closing the popup message : [[ChromeDriver: chrome on WINDOWS (5d00f179e8be897ad0e6fc2ed94666dd)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:607 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:752 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (cabc37a72951be50aa1cfff7d3d7672c)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 23:05:932 INFO  WomenCategoryPage :39 - selecting product : Printed Dress
2022-05-17 23:05:242 INFO  ProductPage :40 - Select quantity :3
2022-05-17 23:05:464 INFO  ProductPage :45 - select size : L
2022-05-17 23:05:608 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (cabc37a72951be50aa1cfff7d3d7672c)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 23:05:693 INFO  ProductPage :72 - product added successfully message : [[ChromeDriver: chrome on WINDOWS (cabc37a72951be50aa1cfff7d3d7672c)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:561 INFO  ProductPage :76 - Closing the popup message : [[ChromeDriver: chrome on WINDOWS (cabc37a72951be50aa1cfff7d3d7672c)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:649 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:81 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (9a8330b795c6c3b602c34659040ca2d6)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 23:05:107 INFO  WomenCategoryPage :39 - selecting product : Printed Chiffon Dress
2022-05-17 23:05:256 INFO  ProductPage :40 - Select quantity :4
2022-05-17 23:05:317 INFO  ProductPage :45 - select size : S
2022-05-17 23:05:400 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (9a8330b795c6c3b602c34659040ca2d6)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 23:05:461 INFO  ProductPage :72 - product added successfully message : [[ChromeDriver: chrome on WINDOWS (9a8330b795c6c3b602c34659040ca2d6)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:964 INFO  ProductPage :76 - Closing the popup message : [[ChromeDriver: chrome on WINDOWS (9a8330b795c6c3b602c34659040ca2d6)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:18 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:156 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (4016228778678b80cd307ee91901b62e)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 23:05:365 INFO  WomenCategoryPage :39 - selecting product : Printed Summer Dress
2022-05-17 23:05:654 INFO  ProductPage :40 - Select quantity :2
2022-05-17 23:05:881 INFO  ProductPage :45 - select size : M
2022-05-17 23:05:35 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (4016228778678b80cd307ee91901b62e)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 23:05:118 INFO  ProductPage :72 - product added successfully message : [[ChromeDriver: chrome on WINDOWS (4016228778678b80cd307ee91901b62e)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:167 INFO  ProductPage :76 - Closing the popup message : [[ChromeDriver: chrome on WINDOWS (4016228778678b80cd307ee91901b62e)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:618 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:105 INFO  HomePage :25 - click on signIn link : Sign in
2022-05-17 23:05:99 INFO  SignInPage :93 - Enter email address : [[ChromeDriver: chrome on WINDOWS (3b4664b49126ea341dc4bcaf82608464)] -> xpath: //input[@id='email_create']]
2022-05-17 23:05:170 INFO  SignInPage :96 - click on create account button : Create an account
2022-05-17 23:05:532 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:432 INFO  HomePage :25 - click on signIn link : Sign in
2022-05-17 23:05:909 INFO  SignInPage :57 - verify authentication message : AUTHENTICATION
2022-05-17 23:05:998 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:276 INFO  HomePage :25 - click on signIn link : Sign in
2022-05-17 23:05:394 INFO  SignInPage :62 - Enter username : [[ChromeDriver: chrome on WINDOWS (12586a58941c88748f5e934bf16d59f7)] -> xpath: //input[@id='email']]
2022-05-17 23:05:560 INFO  SignInPage :66 - Enter password : [[ChromeDriver: chrome on WINDOWS (12586a58941c88748f5e934bf16d59f7)] -> xpath: //input[@id='passwd']]
2022-05-17 23:05:624 INFO  SignInPage :69 - Click on Sign In Button : Sign in
2022-05-17 23:05:291 INFO  SignInPage :74 - Verify Error Message : An email address required.
2022-05-17 23:05:417 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:835 INFO  HomePage :25 - click on signIn link : Sign in
2022-05-17 23:05:769 INFO  SignInPage :62 - Enter username : [[ChromeDriver: chrome on WINDOWS (935c82d2cb839841bb74516e1bfc6017)] -> xpath: //input[@id='email']]
2022-05-17 23:05:937 INFO  SignInPage :66 - Enter password : [[ChromeDriver: chrome on WINDOWS (935c82d2cb839841bb74516e1bfc6017)] -> xpath: //input[@id='passwd']]
2022-05-17 23:05:11 INFO  SignInPage :69 - Click on Sign In Button : Sign in
2022-05-17 23:05:114 INFO  SignInPage :74 - Verify Error Message : Password is required.
2022-05-17 23:05:150 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:864 INFO  HomePage :25 - click on signIn link : Sign in
2022-05-17 23:05:750 INFO  SignInPage :62 - Enter username : [[ChromeDriver: chrome on WINDOWS (518b4d9b11b62d61ea5339eee08bed3c)] -> xpath: //input[@id='email']]
2022-05-17 23:05:921 INFO  SignInPage :66 - Enter password : [[ChromeDriver: chrome on WINDOWS (518b4d9b11b62d61ea5339eee08bed3c)] -> xpath: //input[@id='passwd']]
2022-05-17 23:05:991 INFO  SignInPage :69 - Click on Sign In Button : Sign in
2022-05-17 23:05:732 INFO  SignInPage :74 - Verify Error Message : Invalid email address.
2022-05-17 23:05:911 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:132 INFO  HomePage :25 - click on signIn link : Sign in
2022-05-17 23:05:42 INFO  SignInPage :62 - Enter username : [[ChromeDriver: chrome on WINDOWS (a5dcd48c41a5e2a255974525787c93bf)] -> xpath: //input[@id='email']]
2022-05-17 23:05:321 INFO  SignInPage :66 - Enter password : [[ChromeDriver: chrome on WINDOWS (a5dcd48c41a5e2a255974525787c93bf)] -> xpath: //input[@id='passwd']]
2022-05-17 23:05:416 INFO  SignInPage :69 - Click on Sign In Button : Sign in
2022-05-17 23:05:697 INFO  SignInPage :74 - Verify Error Message : Authentication failed.
2022-05-17 23:05:751 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:113 INFO  HomePage :25 - click on signIn link : Sign in
2022-05-17 23:05:901 INFO  SignInPage :62 - Enter username : [[ChromeDriver: chrome on WINDOWS (e2ba3c1856e7ee654dd92f6ee273cbf8)] -> xpath: //input[@id='email']]
2022-05-17 23:05:302 INFO  SignInPage :66 - Enter password : [[ChromeDriver: chrome on WINDOWS (e2ba3c1856e7ee654dd92f6ee273cbf8)] -> xpath: //input[@id='passwd']]
2022-05-17 23:05:360 INFO  SignInPage :69 - Click on Sign In Button : Sign in
2022-05-17 23:05:349 INFO  SignInPage :78 - Click on sign out button : Sign out
2022-05-17 23:05:808 INFO  SignInPage :82 - verify SignIn Link : Sign in
2022-05-17 23:05:942 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:956 INFO  HomePage :25 - click on signIn link : Sign in
2022-05-17 23:05:398 INFO  SignInPage :62 - Enter username : [[ChromeDriver: chrome on WINDOWS (8c511c7c36c19b24738cf36f35b290c0)] -> xpath: //input[@id='email']]
2022-05-17 23:05:578 INFO  SignInPage :66 - Enter password : [[ChromeDriver: chrome on WINDOWS (8c511c7c36c19b24738cf36f35b290c0)] -> xpath: //input[@id='passwd']]
2022-05-17 23:05:640 INFO  SignInPage :69 - Click on Sign In Button : Sign in
2022-05-17 23:05:758 INFO  SignInPage :87 - Sign out link is displayed : Sign out
2022-05-17 23:05:145 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:286 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (14d00ebc63565b5c476bcc274c346ddf)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 23:05:342 INFO  WomenCategoryPage :30 - verifying womens page text : Women
2022-05-17 23:05:356 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:240 INFO  HomePage :31 - clicking on women tab : [[ChromeDriver: chrome on WINDOWS (45f0270b33a45883a19579715385433f)] -> xpath: (//a[@title='Women'])[1]]
2022-05-17 23:05:383 INFO  WomenCategoryPage :39 - selecting product : Blouse
2022-05-17 23:05:589 INFO  ProductPage :40 - Select quantity :2
2022-05-17 23:05:929 INFO  ProductPage :45 - select size : M
2022-05-17 23:05:36 INFO  ProductPage :68 - select Add to cart button :[[ChromeDriver: chrome on WINDOWS (45f0270b33a45883a19579715385433f)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-17 23:05:98 INFO  ProductPage :72 - product added successfully message : [[ChromeDriver: chrome on WINDOWS (45f0270b33a45883a19579715385433f)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:345 INFO  ProductPage :76 - Closing the popup message : [[ChromeDriver: chrome on WINDOWS (45f0270b33a45883a19579715385433f)] -> xpath: //div[@class='clearfix']/div[1]/h2]
2022-05-17 23:05:595 INFO  ManageDriver :32 - Launching Chrome Browser
